condition,seed,checkpoint,n_swap_pairs_total,n_swap_pairs_role_valid,n_swap_pairs_eligible,n_swap_pairs_changed,D_swap,swap_eligibility
vanilla_dqn,63004,200000,8,8,6,2,0.3333333333333333,0.75
vanilla_dqn,63004,250000,8,8,8,4,0.5,1.0
vanilla_dqn,63004,300000,8,8,3,0,0.0,0.375
vanilla_dqn,63005,0,8,8,8,8,1.0,1.0
vanilla_dqn,63005,10000,8,8,1,0,0.0,0.125
vanilla_dqn,63005,25000,8,8,1,0,0.0,0.125
vanilla_dqn,63005,50000,8,8,0,0,,0.0
vanilla_dqn,63005,75000,8,8,0,0,,0.0
vanilla_dqn,63005,100000,8,8,0,0,,0.0
vanilla_dqn,63005,150000,8,8,0,0,,0.0
vanilla_dqn,63005,200000,8,8,2,2,1.0,0.25
vanilla_dqn,63005,250000,8,8,0,0,,0.0
vanilla_dqn,63005,300000,8,8,5,0,0.0,0.625
vanilla_dqn,63006,0,8,8,2,0,0.0,0.25
vanilla_dqn,63006,10000,8,8,1,0,0.0,0.125
vanilla_dqn,63006,25000,8,8,0,0,,0.0
vanilla_dqn,63006,50000,8,8,0,0,,0.0
vanilla_dqn,63006,75000,8,8,0,0,,0.0
vanilla_dqn,63006,100000,8,8,0,0,,0.0
vanilla_dqn,63006,150000,8,8,7,7,1.0,0.875
vanilla_dqn,63006,200000,8,8,0,0,,0.0
vanilla_dqn,63006,250000,8,8,0,0,,0.0
vanilla_dqn,63006,300000,8,8,4,2,0.5,0.5
vanilla_dqn,63007,0,8,8,1,0,0.0,0.125
vanilla_dqn,63007,10000,8,8,0,0,,0.0
vanilla_dqn,63007,25000,8,8,0,0,,0.0
vanilla_dqn,63007,50000,8,8,1,1,1.0,0.125
vanilla_dqn,63007,75000,8,8,0,0,,0.0
vanilla_dqn,63007,100000,8,8,1,1,1.0,0.125
vanilla_dqn,63007,150000,8,8,1,0,0.0,0.125
vanilla_dqn,63007,200000,8,8,6,1,0.16666666666666666,0.75
vanilla_dqn,63007,250000,8,8,4,4,1.0,0.5
vanilla_dqn,63007,300000,8,8,8,8,1.0,1.0
vanilla_dqn,63008,0,8,8,0,0,,0.0
vanilla_dqn,63008,10000,8,8,3,2,0.6666666666666666,0.375
vanilla_dqn,63008,25000,8,8,0,0,,0.0
vanilla_dqn,63008,50000,8,8,0,0,,0.0
vanilla_dqn,63008,75000,8,8,0,0,,0.0
vanilla_dqn,63008,100000,8,8,0,0,,0.0
vanilla_dqn,63008,150000,8,8,4,1,0.25,0.5
vanilla_dqn,63008,200000,8,8,8,6,0.75,1.0
vanilla_dqn,63008,250000,8,8,8,7,0.875,1.0
vanilla_dqn,63008,300000,8,8,6,1,0.16666666666666666,0.75
vanilla_dqn,63009,0,8,8,0,0,,0.0
vanilla_dqn,63009,10000,8,8,6,6,1.0,0.75
vanilla_dqn,63009,25000,8,8,7,1,0.14285714285714285,0.875
vanilla_dqn,63009,50000,8,8,0,0,,0.0
vanilla_dqn,63009,75000,8,8,0,0,,0.0
vanilla_dqn,63009,100000,8,8,1,1,1.0,0.125
vanilla_dqn,63009,150000,8,8,6,3,0.5,0.75
vanilla_dqn,63009,200000,8,8,1,0,0.0,0.125
vanilla_dqn,63009,250000,8,8,7,1,0.14285714285714285,0.875
vanilla_dqn,63009,300000,8,8,6,2,0.3333333333333333,0.75
vanilla_dqn,63010,0,8,8,0,0,,0.0
vanilla_dqn,63010,10000,8,8,1,0,0.0,0.125
vanilla_dqn,63010,25000,8,8,1,1,1.0,0.125
vanilla_dqn,63010,50000,8,8,1,0,0.0,0.125
vanilla_dqn,63010,75000,8,8,1,1,1.0,0.125
vanilla_dqn,63010,100000,8,8,2,0,0.0,0.25
vanilla_dqn,63010,150000,8,8,0,0,,0.0
vanilla_dqn,63010,200000,8,8,0,0,,0.0
vanilla_dqn,63010,250000,8,8,4,4,1.0,0.5
vanilla_dqn,63010,300000,8,8,8,5,0.625,1.0
vanilla_dqn,63011,0,8,8,0,0,,0.0
vanilla_dqn,63011,10000,8,8,7,4,0.5714285714285714,0.875
vanilla_dqn,63011,25000,8,8,1,0,0.0,0.125
vanilla_dqn,63011,50000,8,8,0,0,,0.0
vanilla_dqn,63011,75000,8,8,0,0,,0.0
vanilla_dqn,63011,100000,8,8,0,0,,0.0
vanilla_dqn,63011,150000,8,8,1,0,0.0,0.125
vanilla_dqn,63011,200000,8,8,0,0,,0.0
vanilla_dqn,63011,250000,8,8,1,1,1.0,0.125
vanilla_dqn,63011,300000,8,8,0,0,,0.0
vanilla_dqn,63012,0,8,8,0,0,,0.0
vanilla_dqn,63012,10000,8,8,0,0,,0.0
vanilla_dqn,63012,25000,8,8,0,0,,0.0
vanilla_dqn,63012,50000,8,8,0,0,,0.0
vanilla_dqn,63012,75000,8,8,0,0,,0.0
vanilla_dqn,63012,100000,8,8,0,0,,0.0
vanilla_dqn,63012,150000,8,8,0,0,,0.0
vanilla_dqn,63012,200000,8,8,0,0,,0.0
vanilla_dqn,63012,250000,8,8,0,0,,0.0
vanilla_dqn,63012,300000,8,8,1,1,1.0,0.125
vanilla_dqn,63013,0,8,8,0,0,,0.0
vanilla_dqn,63013,10000,8,8,8,4,0.5,1.0
vanilla_dqn,63013,25000,8,8,0,0,,0.0
vanilla_dqn,63013,50000,8,8,0,0,,0.0
vanilla_dqn,63013,75000,8,8,0,0,,0.0
vanilla_dqn,63013,100000,8,8,0,0,,0.0
vanilla_dqn,63013,150000,8,8,0,0,,0.0
vanilla_dqn,63013,200000,8,8,0,0,,0.0
vanilla_dqn,63013,250000,8,8,0,0,,0.0
vanilla_dqn,63013,300000,8,8,0,0,,0.0
vanilla_dqn,63014,0,8,8,0,0,,0.0
vanilla_dqn,63014,10000,8,8,0,0,,0.0
vanilla_dqn,63014,25000,8,8,0,0,,0.0
