condition,seed,step,artifact_type,logical_artifact_id,size_bytes,sha256,load_validated,backup_status,storage_location
vanilla_dqn,63003,50000,weights,vanilla_dqn/seed_63003/weights_step_50000.pt,106687,c4df7cded82136e311bac85199b15f37b7af93c6651ed8a90880a8098be09cc5,True,not_available,experiment_machine_local
vanilla_dqn,63003,50000,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_50000.json,710,c1dc2a24a184f624043bb315af681e46660909698c25f659eb9689d95511b46c,True,not_available,experiment_machine_local
vanilla_dqn,63004,10000,full_checkpoint,vanilla_dqn/seed_63004/ckpt_step_10000_full.pt,20435868,ef19237fe042aa0d8b2e788ae0795f7b3ce89dfa6c256e76fd0be576d44b103d,True,not_available,experiment_machine_local
vanilla_dqn,63004,10000,weights,vanilla_dqn/seed_63004/weights_step_10000.pt,106687,42850e10e845e87cc3433e6dc9c45413367a4a345edee707f61baaaefd745791,True,not_available,experiment_machine_local
vanilla_dqn,63004,10000,checkpoint_metadata,vanilla_dqn/seed_63004/checkpoint_metadata_10000.json,710,facd5242cb08dcf9ce848c80001c449076f01af5d55939ade0c88560b7209e85,True,not_available,experiment_machine_local
vanilla_dqn,63004,25000,full_checkpoint,vanilla_dqn/seed_63004/ckpt_step_25000_full.pt,46703964,640e75bb6ed39aaa78f9776f1a73ed65312a8e25a1ec8b055d19f5bc16ebe807,True,not_available,experiment_machine_local
vanilla_dqn,63004,25000,weights,vanilla_dqn/seed_63004/weights_step_25000.pt,106687,69e477453d5cfb96561d6c5e76e9ef0d2cfeaaea3ee4d4fd5cbe45ea7700d506,True,not_available,experiment_machine_local
vanilla_dqn,63004,25000,checkpoint_metadata,vanilla_dqn/seed_63004/checkpoint_metadata_25000.json,710,8cc999de34b20afa1251a5b1f5a942f47764754fe2738c0add82d7dbb8d96dfe,True,not_available,experiment_machine_local
vanilla_dqn,63003,300000,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_300000_full.pt,46288351,088aa1e24ed8ca0429f277242973cfefc27facc2413723ebcae8a106c180c650,True,not_available,experiment_machine_local
vanilla_dqn,63003,300000,weights,vanilla_dqn/seed_63003/weights_step_300000.pt,106781,0c9392192afde2e72e69df50811cbb6288029efa04f1dbc93990deb1766c5d4c,True,not_available,experiment_machine_local
vanilla_dqn,63003,300000,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_300000.json,713,29721936762e41488d905a587ea1899af11dc6eea5fd6564d10ebfe573e10b07,True,not_available,experiment_machine_local
vanilla_dqn,63003,100000,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_100000_full.pt,44288287,ba080145280d8c6996d32840c01dd5b8ddd480244557ed20be5b09f5e2228253,True,not_available,experiment_machine_local
vanilla_dqn,63003,100000,weights,vanilla_dqn/seed_63003/weights_step_100000.pt,106781,bf7c1489dd023f89c33dfa0589aab5fbe9fda7e0d5a0525d8244ef877f493e54,True,not_available,experiment_machine_local
vanilla_dqn,63003,100000,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_100000.json,713,a4f2e375b631d1a5d7d5143c3c01566c09f32d3eb91219bc18a0701bcf5be7aa,True,not_available,experiment_machine_local
vanilla_dqn,63005,0,full_checkpoint,vanilla_dqn/seed_63005/ckpt_step_0_full.pt,123212,834d0296f3dc4c98d38efef63309918aeedd20b2032c5382210201c5f8ae2c30,True,not_available,experiment_machine_local
vanilla_dqn,63005,0,weights,vanilla_dqn/seed_63005/weights_step_0.pt,106567,3f6936c70829bda9aae5fc18f69f0781bf40282fb7cc865b6abd81adfbe805a6,True,not_available,experiment_machine_local
