master_seed,validation_block_id,assignment,controller,success,maintain_frac,accelerate_frac,decelerate_frac,action_switch_rate
61006,validation_003,1,A,True,0.850187265917603,0.14232209737827714,0.00749063670411985,0.022556390977443608
61006,validation_003,1,B,True,0.6779026217228464,0.14232209737827714,0.1797752808988764,0.07142857142857142
61006,validation_004,0,A,False,0.03,0.0,0.97,0.005012531328320802
61006,validation_004,0,B,False,0.96,0.04,0.0,0.005012531328320802
61006,validation_004,1,A,True,0.6444444444444445,0.32222222222222224,0.03333333333333333,0.056179775280898875
61006,validation_004,1,B,True,0.05555555555555555,0.5777777777777777,0.36666666666666664,0.033707865168539325
61006,validation_005,0,A,False,0.0375,0.0,0.9625,0.005012531328320802
61006,validation_005,0,B,False,0.9325,0.035,0.0325,0.010025062656641603
61006,validation_005,1,A,True,0.71875,0.28125,0.0,0.031578947368421054
61006,validation_005,1,B,True,0.052083333333333336,0.5833333333333334,0.3645833333333333,0.031578947368421054
61006,validation_006,0,A,False,0.03,0.0,0.97,0.005012531328320802
61006,validation_006,0,B,False,0.955,0.0425,0.0025,0.007518796992481203
61006,validation_006,1,A,True,0.71875,0.28125,0.0,0.031578947368421054
61006,validation_006,1,B,True,0.0625,0.5833333333333334,0.3541666666666667,0.042105263157894736
61006,validation_007,0,A,False,0.85,0.025,0.125,0.017543859649122806
61006,validation_007,0,B,False,0.5225,0.065,0.4125,0.03508771929824561
61006,validation_007,1,A,True,0.4880952380952381,0.47619047619047616,0.03571428571428571,0.08433734939759036
61006,validation_007,1,B,True,0.05952380952380952,0.5595238095238095,0.38095238095238093,0.03614457831325301
61006,validation_008,0,A,False,0.8975,0.0,0.1025,0.007518796992481203
61006,validation_008,0,B,False,0.91,0.09,0.0,0.010025062656641603
61006,validation_008,1,A,True,0.5606060606060606,0.4393939393939394,0.0,0.046153846153846156
61006,validation_008,1,B,True,0.3939393939393939,0.4696969696969697,0.13636363636363635,0.06153846153846154
61007,validation_001,0,A,True,0.37037037037037035,0.6296296296296297,0.0,0.05660377358490566
61007,validation_001,0,B,True,0.7222222222222222,0.2777777777777778,0.0,0.1320754716981132
61007,validation_001,1,A,True,0.7285714285714285,0.18571428571428572,0.08571428571428572,0.057971014492753624
61007,validation_001,1,B,True,1.0,0.0,0.0,0.0
61007,validation_002,0,A,True,0.7865168539325843,0.07865168539325842,0.1348314606741573,0.07954545454545454
61007,validation_002,0,B,True,0.5280898876404494,0.2808988764044944,0.19101123595505617,0.1590909090909091
61007,validation_002,1,A,True,0.6507936507936508,0.3492063492063492,0.0,0.11290322580645161
61007,validation_002,1,B,True,0.6507936507936508,0.25396825396825395,0.09523809523809523,0.1935483870967742
61007,validation_003,0,A,True,0.3584905660377358,0.6415094339622641,0.0,0.09615384615384616
61007,validation_003,0,B,True,0.5471698113207547,0.4528301886792453,0.0,0.15384615384615385
61007,validation_003,1,A,True,0.8,0.09230769230769231,0.1076923076923077,0.046875
61007,validation_003,1,B,True,0.8769230769230769,0.12307692307692308,0.0,0.046875
61007,validation_004,0,A,True,0.3333333333333333,0.6666666666666666,0.0,0.05660377358490566
61007,validation_004,0,B,True,0.7407407407407407,0.25925925925925924,0.0,0.1509433962264151
61007,validation_004,1,A,True,0.7534246575342466,0.1506849315068493,0.0958904109589041,0.027777777777777776
61007,validation_004,1,B,True,0.9863013698630136,0.0136986301369863,0.0,0.027777777777777776
61007,validation_005,0,A,True,0.527027027027027,0.24324324324324326,0.22972972972972974,0.1232876712328767
61007,validation_005,0,B,True,0.7432432432432432,0.17567567567567569,0.08108108108108109,0.0410958904109589
61007,validation_005,1,A,True,0.3888888888888889,0.3194444444444444,0.2916666666666667,0.08450704225352113
61007,validation_005,1,B,True,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.056338028169014086
61007,validation_006,0,A,True,0.7027027027027027,0.22972972972972974,0.06756756756756757,0.1095890410958904
61007,validation_006,0,B,True,0.4594594594594595,0.35135135135135137,0.1891891891891892,0.2191780821917808
61007,validation_006,1,A,True,0.759493670886076,0.1518987341772152,0.08860759493670886,0.07692307692307693
61007,validation_006,1,B,True,0.9746835443037974,0.02531645569620253,0.0,0.02564102564102564
61007,validation_007,0,A,True,0.7888888888888889,0.05555555555555555,0.15555555555555556,0.07865168539325842
61007,validation_007,0,B,True,0.5,0.2777777777777778,0.2222222222222222,0.14606741573033707
61007,validation_007,1,A,True,0.671875,0.328125,0.0,0.07936507936507936
