master_seed,validation_block_id,assignment,controller,outcome,mean_abs_Q,Q_margin_mean,Q_margin_median,Q_margin_q10,Q_margin_q90,frac_margin_lt_1e-3,frac_margin_lt_1e-2,frac_margin_lt_5e-2
61002,validation_007,0,B,truncated,0.7304462771117687,0.04463610768318169,0.0501419305801391,0.006564438343048031,0.0501419305801391,0.01,0.115,0.1425
61002,validation_007,1,A,truncated,0.47958402511974174,0.03387047700583926,0.0374899208545684,0.015919083356857277,0.0374899208545684,0.03,0.0925,1.0
61002,validation_007,1,B,truncated,1.0497973993917307,0.0039485503733157614,0.0022966861724853,0.0022966861724853,0.007897424697875924,0.0075,0.935,1.0
61002,validation_008,0,A,truncated,1.3270789361000062,0.005437811017036414,0.0042448043823242,0.0042448043823242,0.010839796066284105,0.01,0.885,1.0
61002,validation_008,0,B,truncated,0.7921318939328194,0.05599404484033581,0.0644505620002746,0.0049585640430449725,0.0644505620002746,0.0125,0.13,0.14
61002,validation_008,1,A,truncated,0.510153775687019,0.03072953633964061,0.0352315604686737,0.0033040821552276127,0.0352315604686737,0.03,0.13,1.0
61002,validation_008,1,B,truncated,1.3870407069722812,0.003827320337295459,0.0026746988296508,0.0026746988296508,0.00268293619155881,0.035,0.9325,1.0
61003,validation_001,0,A,success,0.7422410671157066,0.019347267168940873,0.0144632160663604,0.00582179427146905,0.0341321527957916,0.0,0.2727272727272727,0.9545454545454546
61003,validation_001,0,B,success,0.9520483923078787,0.011578735980120524,0.01240926980972285,0.0025959014892578004,0.0198906064033508,0.045454545454545456,0.3787878787878788,1.0
61003,validation_001,1,A,truncated,1.2417346000671388,0.021378268897533362,0.0234289169311523,0.012773525714874183,0.0234289169311523,0.015,0.0675,1.0
61003,validation_001,1,B,truncated,1.0049216647446155,0.0012304733693599488,0.0004599094390869,0.0004599094390869,0.0020759880542754305,0.8725,0.9825,1.0
61003,validation_002,0,A,success,0.715086639755302,0.008427056173483482,0.00778579711914055,0.0013529419898986401,0.01392827033996575,0.06944444444444445,0.6388888888888888,1.0
61003,validation_002,0,B,success,0.8670875083793093,0.029679824908574372,0.0162208676338195,0.0011767923831939,0.052286267280578544,0.09722222222222222,0.4444444444444444,0.8888888888888888
61003,validation_002,1,A,truncated,0.6301864554112157,0.0023808300867676235,0.0011541843414305999,0.00022502541542048006,0.008581507205963124,0.4425,0.9325,1.0
61003,validation_002,1,B,truncated,0.8329579553504785,0.0030387398600577814,0.00269746780395505,0.0003816187381743501,0.004819875955581652,0.205,0.955,1.0
61003,validation_003,0,A,success,0.6595156919506807,0.02033484532009983,0.01576815545558925,0.009327292442321711,0.03559567630290981,0.0,0.17857142857142858,0.9285714285714286
61003,validation_003,0,B,success,0.9284711655170198,0.009949598283994712,0.00797051191329955,0.00108467340469355,0.0194049000740051,0.09523809523809523,0.6071428571428571,0.9880952380952381
61003,validation_003,1,A,truncated,0.6212779264524579,0.0023751094192266003,0.0011307597160339,0.00023460388183585006,0.008334815502166713,0.4525,0.97,1.0
61003,validation_003,1,B,truncated,0.817250193208456,0.003496403843164395,0.00252616405487055,0.00048111677169797025,0.00412077307701102,0.2125,0.9425,0.99
61003,validation_004,0,A,success,0.7669567768280212,0.007774985588348612,0.004507303237915,0.0012129545211791,0.0221454501152038,0.09009009009009009,0.6846846846846847,1.0
61003,validation_004,0,B,success,0.83592536231061,0.01725172137354941,0.0096134543418884,0.0008418560028076,0.0558407306671142,0.11711711711711711,0.5225225225225225,0.8378378378378378
61003,validation_004,1,A,success,0.5283500489193139,0.005000228631947,0.0013338923454284,0.0002383589744567,0.0127301812171936,0.4570446735395189,0.7422680412371134,1.0
61003,validation_004,1,B,success,0.7664000673938589,0.003104671579865609,0.0017800331115722,0.0003301501274108,0.0062416195869445,0.27835051546391754,0.9209621993127147,1.0
