seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,P_yield_given_worse,P_yield_given_better,RY,priority_pairs,priority_to_worse_off,P_priority_worse,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,rate_burden_worse,rate_burden_better,BC,worst_off_samples,recovery_n_k10,Recovery_k10,GapClosure_k10,recovery_n_k25,Recovery_k25,GapClosure_k25,recovery_n_k50,Recovery_k50,GapClosure_k50
910101,baseline,wsc,ALL,702.0,111171.0,0.0,2126.0,0.0,0.01912369232983422,0.0,0.0,0.0,nan,702.0,111171.0,0.0,201.0,0.0,0.0018080254742693688,0.0,232.0,203.0,0.0005851676036474947,0.0005851676036474947,113.0,0.001407562027298117,0.001407562027298117,0.0,nan,nan
910101,mean,original,ALL,3135.0,143637.0,279.0,11136.0,0.08899521531100478,0.07752877044215627,1.1478992224880382,0.0,0.0,nan,3135.0,143637.0,49.0,556.0,0.01562998405103668,0.0038708689265300722,4.037848955285532,734.0,725.0,0.0007258732225877423,0.0007258732225877423,410.0,0.0017329534575639413,0.0017329534575639413,0.0,nan,nan
910101,mean,wsc,ALL,8723.0,132399.0,1093.0,15751.0,0.1253009285796171,0.1189661553334995,1.053248532982841,99.0,0.0,0.0,8723.0,132399.0,126.0,1663.0,0.014444571821621002,0.012560517828684507,1.1499981146186404,3240.0,3104.0,-0.015068926496355772,0.0028784331883661266,2327.0,-0.045989951799177774,0.011592167026937614,952.0,-0.1695729490588837,0.057610659657780235
910101,ggi,original,ALL,8095.0,126186.0,790.0,5989.0,0.09759110562075356,0.04746168354651071,2.056208257448724,12.0,0.0,0.0,8095.0,126186.0,118.0,429.0,0.014576899320568252,0.00339974323617517,4.287647127424768,2672.0,2652.0,0.00246311020841977,0.00247673673314356,1723.0,0.005728149077958367,0.005761699674681763,78.0,0.021536658798603465,0.021536658798603465
910101,ggi,wsc,ALL,7452.0,106710.0,182.0,1829.0,0.024422973698336018,0.017139911910786242,1.4249182741112283,0.0,0.0,nan,7452.0,106710.0,55.0,200.0,0.007380568974771873,0.0018742385905725798,3.937902576489533,5843.0,5421.0,-0.021715263107390977,-0.020590460580956,3904.0,-0.0467983787273102,-0.04332604838019132,1135.0,-0.09724168609495015,-0.07130208789830166
910101,maximin,original,ALL,2453.0,121066.0,160.0,1725.0,0.06522625356706074,0.014248426478119374,4.577786443101319,25.0,0.0,0.0,2453.0,121066.0,1.0,239.0,0.00040766408479412964,0.001974129813490162,0.20650318029157366,1396.0,1357.0,0.0010068925246656732,0.000957054609841564,962.0,0.002227442978829175,0.002133449836950872,116.0,0.004787817983461967,0.004746712468588753
910101,maximin,wsc,ALL,0.0,111113.0,0.0,5216.0,nan,0.04694320196556658,nan,0.0,0.0,nan,0.0,111113.0,0.0,421.0,nan,0.003788935588095002,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
910102,baseline,original,ALL,3031.0,127556.0,235.0,13023.0,0.07753216760145167,0.10209633415911443,0.7594020709952214,8.0,0.0,0.0,3031.0,127556.0,139.0,502.0,0.04585945232596503,0.003935526357051021,11.652685858348198,2161.0,2121.0,0.004050188589832485,0.0037755969661651344,1481.0,0.008849137491693812,0.008260185650020822,164.0,0.020859844428504724,0.020082274697171776
910102,baseline,wsc,ALL,0.0,141443.0,0.0,5850.0,nan,0.041359416867572094,nan,0.0,0.0,nan,0.0,141443.0,0.0,781.0,nan,0.005521658901465608,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
910102,mean,original,ALL,313.0,131755.0,33.0,48110.0,0.10543130990415335,0.36514743273500055,0.28873627595971163,0.0,0.0,nan,313.0,131755.0,0.0,959.0,0.0,0.007278661151379455,0.0,154.0,40.0,0.001761101809822463,0.001761101809822463,10.0,0.0045554913075126265,0.0045554913075126265,0.0,nan,nan
910102,mean,wsc,ALL,32657.0,87888.0,663.0,2768.0,0.02030192608016658,0.03149462952849081,0.6446154910887573,159.0,134.0,0.8427672955974843,32657.0,87888.0,307.0,667.0,0.00940074103561258,0.007589204442017113,1.2386991426355598,9276.0,8788.0,0.004659871299197826,0.003663495874206366,5478.0,0.01089833610604619,0.008559707479338657,160.0,0.015994362521989113,0.013663855971077124
910102,ggi,original,ALL,28056.0,125305.0,20901.0,35195.0,0.7449743370402053,0.2808746658154104,2.6523372440069024,0.0,0.0,nan,28056.0,125305.0,590.0,846.0,0.02102936983176504,0.006751526275886836,3.114757903982646,4665.0,4058.0,-0.04058520686199538,0.0011817033930253545,3378.0,-0.10029042593719927,0.004975339682305213,2516.0,-0.20115913099828034,0.013691086037195568
910102,ggi,wsc,ALL,0.0,125129.0,0.0,250.0,nan,0.0019979381278520565,nan,0.0,0.0,nan,0.0,125129.0,0.0,71.0,nan,0.0005674144283099841,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
