condition,seed,checkpoint,n_episodes,success,collision,truncation,mean_utility,mean_Q_margin,mean_abs_best_Q
double_dqn,63010,100000,16,1.0,0.0,0.0,0.8920281847188916,0.026569922913684894,0.694387091109722
double_dqn,63010,150000,16,0.8125,0.0,0.1875,0.8907409993969138,0.0114531200986471,0.6693279431762243
double_dqn,63010,200000,16,0.875,0.125,0.0,0.8544014952290074,0.01972100177535494,0.6480196125098974
double_dqn,63010,250000,16,1.0,0.0,0.0,0.9645735227247154,0.0071969302899043625,0.6513198309262633
double_dqn,63010,300000,16,0.4375,0.0625,0.5,0.6570785744522352,0.007993097811060326,0.6499495361915003
double_dqn,63011,0,16,0.0,0.0,1.0,0.6255830738124792,0.07193226505056369,0.06630557389406018
double_dqn,63011,10000,16,0.875,0.125,0.0,0.8359243828133905,0.04092844629358848,0.7503280835367165
double_dqn,63011,25000,16,0.75,0.0,0.25,0.6321731746974603,0.0278209184162711,0.7173408372578506
double_dqn,63011,50000,16,0.5,0.0625,0.4375,0.7317355134751022,0.024449214003525295,0.983417067596231
double_dqn,63011,75000,16,0.8125,0.0,0.1875,0.8499168928105133,0.013490622056580494,0.732439747632604
double_dqn,63011,100000,16,0.9375,0.0625,0.0,0.9069726931247417,0.01345563301006,0.7349708711063733
double_dqn,63011,150000,16,0.9375,0.0,0.0625,0.8011201061891633,0.009186833729963394,0.6911900894392218
double_dqn,63011,200000,16,1.0,0.0,0.0,0.8261642214755601,0.012382528433864831,0.6890449203109832
double_dqn,63011,250000,16,1.0,0.0,0.0,0.9212312280712347,0.030017626408091188,0.7995802851848799
double_dqn,63011,300000,16,1.0,0.0,0.0,0.972016149872884,0.009317166715337576,0.7075796957397217
double_dqn,63012,0,16,0.0,0.0,1.0,0.5975882732037949,0.17015601978855552,0.16500267896830334
double_dqn,63012,10000,16,0.25,0.0,0.75,0.7300945325655378,0.053511398850220285,0.8797970319982076
double_dqn,63012,25000,16,0.9375,0.0,0.0625,0.865648036230548,0.020310589215490837,0.8059082392795476
double_dqn,63012,50000,16,0.75,0.0,0.25,0.7978401857729156,0.02879561194720833,0.9262375353130649
double_dqn,63012,75000,16,0.9375,0.0625,0.0,0.9233036778349163,0.018285819638305112,0.7082246682496084
double_dqn,63012,100000,16,0.625,0.0,0.375,0.7139131568160924,0.012979509139605787,0.7544104242287272
double_dqn,63012,150000,16,0.75,0.125,0.125,0.7326277766980648,0.019846516726482376,0.7875756410681082
double_dqn,63012,200000,16,0.9375,0.0625,0.0,0.9330141253074944,0.006959520626181612,0.6995573613259026
double_dqn,63012,250000,16,0.5,0.0,0.5,0.6553156665356217,0.015194344564231388,0.6388549795259559
