policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index
15,3.0,B_front,background_mainline,True,,180.0,20.0,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
15,3.0,B_rear,background_mainline,True,,61.0528402678597,19.137802899853252,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
16,3.2,A,mainline,True,False,99.74000000000017,21.40000000000009,2,decelerate,-3.0,-2.9999999999999716,68.6400000000001,10.400000000000023,2,2,decelerate-decelerate,-0.1571606546640396,0.0409940630197525,0.05509945750236511,2,0.05509945750236511,0.0409940630197525,0.01410539448261261,0.21226011216640472,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
16,3.2,B,ramp,True,False,68.6400000000001,10.400000000000023,2,decelerate,-3.0,-3.000000000000007,99.74000000000017,21.40000000000009,2,2,decelerate-decelerate,-0.09903740882873535,-0.07507071644067764,0.031055718660354614,2,0.031055718660354614,-0.07507071644067764,0.10612643510103226,0.13009312748908997,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
16,3.2,B_front,background_mainline,True,,184.0,20.0,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
16,3.2,B_rear,background_mainline,True,,64.8759218255803,19.088978821073134,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
17,3.4000000000000004,A,mainline,True,False,103.96000000000019,20.800000000000097,2,decelerate,-3.0,-2.9999999999999716,70.66000000000011,9.800000000000022,2,2,decelerate-decelerate,-0.15619678795337677,0.04076118767261505,0.057513296604156494,2,0.057513296604156494,0.04076118767261505,0.016752108931541443,0.21371008455753326,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
17,3.4000000000000004,B,ramp,True,False,70.66000000000011,9.800000000000022,2,decelerate,-3.0,-3.000000000000007,103.96000000000019,20.800000000000097,2,2,decelerate-decelerate,-0.09933572262525558,-0.07717550545930862,0.03028889000415802,2,0.03028889000415802,-0.07717550545930862,0.10746439546346664,0.1296246126294136,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
17,3.4000000000000004,B_front,background_mainline,True,,188.0,20.0,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
17,3.4000000000000004,B_rear,background_mainline,True,,68.68663398124309,19.014022682855973,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
18,3.6,A,mainline,True,False,108.06000000000022,20.200000000000102,2,decelerate,-3.0,-2.9999999999999716,72.56000000000012,9.20000000000002,2,2,decelerate-decelerate,-0.15502074360847473,0.039725326001644135,0.05957639217376709,2,0.05957639217376709,0.039725326001644135,0.019851066172122955,0.21459713578224182,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
18,3.6,B,ramp,True,False,72.56000000000012,9.20000000000002,2,decelerate,-3.0,-3.000000000000007,108.06000000000022,20.200000000000102,2,2,decelerate-decelerate,-0.09962814301252365,-0.0792093425989151,0.029535599052906036,2,0.029535599052906036,-0.0792093425989151,0.10874494165182114,0.1291637420654297,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
18,3.6,B_front,background_mainline,True,,192.0,20.0,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
18,3.6,B_rear,background_mainline,True,,72.47971419504957,18.912655179297037,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
