seed,step,artifact,path,exists,published,size_bytes,mtime_ns,sha256_recorded,sha256_actual,contains_online_network,contains_target_network,contains_optimizer,contains_replay,contains_rng_state,contains_schedule_state,resumable,availability,sha256_after,unchanged
61008,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61008/ckpt_step_100000.pt,False,False,42607376,nan,1fbcb763df62140a7a94fd176aca5628fb42063caae512f22a7def62a8d85462,nan,True,True,True,True,True,True,False,missing_local_only,,True
61009,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61009/ckpt_step_010000.pt,False,False,20062608,nan,11f51e40b03267eb76e8d84b4c7895c6dabd7b8420d262f26783aa65cf2d0b44,nan,True,True,True,True,True,True,False,missing_local_only,,True
61009,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61009/ckpt_step_025000.pt,False,False,46218576,nan,4a1594a3525b075c5909a755b722fbd426fb6b4ef1b8709c9faf2cb032fd2d41,nan,True,True,True,True,True,True,False,missing_local_only,,True
61009,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61009/ckpt_step_050000.pt,False,False,43463760,nan,96f013a047678bc6de446e4989e2789cd0d0b3131f36f6b6db10c98668eff56c,nan,True,True,True,True,True,True,False,missing_local_only,,True
61009,75000,ckpt_step_075000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61009/ckpt_step_075000.pt,False,False,41691344,nan,505d6b330349d5a9ec6cbd406ffd128e26b56a48e243bff58d3cc8fcd2139fb0,nan,True,True,True,True,True,True,False,missing_local_only,,True
61009,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61009/ckpt_step_100000.pt,False,False,40761104,nan,6b5a4dbc436a1e53a8dadd49b2a13f18a52b2ed326df4aeb9b2325e5971c807f,nan,True,True,True,True,True,True,False,missing_local_only,,True
61010,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61010/ckpt_step_010000.pt,False,False,19474064,nan,0cc77dbf37c0d56b7c1f0833fd85ff6753f83e9db0a063a22e8bdb43465925c3,nan,True,True,True,True,True,True,False,missing_local_only,,True
61010,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61010/ckpt_step_025000.pt,False,False,46340752,nan,c25f40bc425f3e49cedfc1b764e66d6208444ca29504fd1cca60109866a5b45f,nan,True,True,True,True,True,True,False,missing_local_only,,True
61010,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61010/ckpt_step_050000.pt,False,False,43297360,nan,e7f92a9e09880d667c5e8fe488598c1472cedbb4447193aee7756999582bd739,nan,True,True,True,True,True,True,False,missing_local_only,,True
61010,75000,ckpt_step_075000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61010/ckpt_step_075000.pt,False,False,42927568,nan,7d95384428213fd96025cc96c3f4ba78d744257c7abab061e7304623f1ef44f2,nan,True,True,True,True,True,True,False,missing_local_only,,True
61010,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61010/ckpt_step_100000.pt,False,False,43900240,nan,24f9c4d40f636a361be11b68567a18baa69fc857ee560c36606d41a07ef20d76,nan,True,True,True,True,True,True,False,missing_local_only,,True
